mesh,component,faces,points,cx,cy,cz,sx,sy,sz,minx,miny,minz,maxx,maxy,maxz
0,32,28,16,-1.33976,0.200955,-0.0002449999999999952,0.049900000000000055,0.08001,1.06021,-1.36471,0.16095,-0.53035,-1.31481,0.24096,0.52986
0,33,28,20,-1.4041299999999999,0.010415,0.50055,0.044440000000000035,0.009049999999999999,0.046719999999999984,-1.42635,0.00589,0.47719,-1.38191,0.01494,0.52391
0,34,28,16,-1.409495,0.65223,0.500715,0.17835,0.009759999999999991,0.060870000000000035,-1.49867,0.64735,0.47028,-1.32032,0.65711,0.53115
0,35,28,16,-1.409495,0.6649849999999999,0.500715,0.17835,0.009769999999999945,0.060870000000000035,-1.49867,0.6601,0.47028,-1.32032,0.66987,0.53115
0,36,28,20,-0.0020250000000000008,0.010415,-0.50055,0.04443,0.009049999999999999,0.046719999999999984,-0.02424,0.00589,-0.52391,0.02019,0.01494,-0.47719
0,37,28,16,0.0033349999999999977,0.65223,-0.500715,0.17835,0.009759999999999991,0.060870000000000035,-0.08584,0.64735,-0.53115,0.09251,0.65711,-0.47028
0,38,28,16,0.0033349999999999977,0.6649849999999999,-0.500715,0.17835,0.009769999999999945,0.060870000000000035,-0.08584,0.6601,-0.53115,0.09251,0.66987,-0.47028
0,39,28,16,0.06681,0.200955,-0.0002449999999999952,0.04989999999999999,0.08001,1.06021,0.04186,0.16095,-0.53035,0.09176,0.24096,0.52986
0,40,28,20,-0.0020250000000000008,0.010415,0.50055,0.04443,0.009049999999999999,0.046719999999999984,-0.02424,0.00589,0.47719,0.02019,0.01494,0.52391
0,41,28,16,0.0033349999999999977,0.65223,0.500715,0.17835,0.009759999999999991,0.060870000000000035,-0.08584,0.64735,0.47028,0.09251,0.65711,0.53115
0,42,28,16,0.0033349999999999977,0.6649849999999999,0.500715,0.17835,0.009769999999999945,0.060870000000000035,-0.08584,0.6601,0.47028,0.09251,0.66987,0.53115
0,43,22,16,-1.406155,0.002945,-0.52606,0.1168499999999999,0.00589,0.14230000000000004,-1.46458,-0.0,-0.59721,-1.34773,0.00589,-0.45491
0,44,22,16,-1.406155,0.002945,0.52606,0.1168499999999999,0.00589,0.14230000000000004,-1.46458,-0.0,0.45491,-1.34773,0.00589,0.59721
0,45,22,16,0.0,0.002945,-0.52606,0.11686,0.00589,0.14230000000000004,-0.05843,0.0,-0.59721,0.05843,0.00589,-0.45491
0,46,22,16,0.0,0.002945,0.52606,0.11686,0.00589,0.14230000000000004,-0.05843,-0.0,0.45491,0.05843,0.00589,0.59721
0,47,20,20,-0.47240499999999996,0.47714,0.00023000000000000798,0.042289999999999994,0.040220000000000034,1.03078,-0.49355,0.45703,-0.51516,-0.45126,0.49725,0.51562
0,48,16,16,-1.585145,0.7161,0.5004850000000001,0.03465000000000007,0.05608000000000002,0.04307000000000005,-1.60247,0.68806,0.47895,-1.56782,0.74414,0.52202
0,49,16,16,0.17382,0.7161,0.5004850000000001,0.034640000000000004,0.05608000000000002,0.04307000000000005,0.1565,0.68806,0.47895,0.19114,0.74414,0.52202
0,50,16,16,-1.585145,0.7161,-0.50054,0.03465000000000007,0.05608000000000002,0.04306000000000004,-1.60247,0.68806,-0.52207,-1.56782,0.74414,-0.47901
0,51,16,16,0.17382,0.7161,-0.50054,0.034640000000000004,0.05608000000000002,0.04306000000000004,0.1565,0.68806,-0.52207,0.19114,0.74414,-0.47901
0,52,12,8,-0.52401,0.6569750000000001,0.40825999999999996,0.49044,0.0023900000000000032,0.09388000000000002,-0.76923,0.65578,0.36132,-0.27879,0.65817,0.4552
0,53,12,12,-1.4041350000000001,0.077995,-0.500545,0.016310000000000047,0.12637,0.018829999999999958,-1.41229,0.01481,-0.50996,-1.39598,0.14118,-0.49113
0,54,12,12,-1.4041350000000001,0.077995,0.500545,0.016310000000000047,0.12637,0.018829999999999958,-1.41229,0.01481,0.49113,-1.39598,0.14118,0.50996
0,55,12,12,-0.002025,0.077995,-0.500545,0.016309999999999998,0.12637,0.018829999999999958,-0.01018,0.01481,-0.50996,0.00613,0.14118,-0.49113
